pair,direction,entry,exit,pnl,pips,result,signal_strength,entry_time,exit_time
EURJPY,SELL,157.69500732421875,159.13201086861747,-100.0,-143.70035443987206,LOSS,75.0,2024-08-06 13:00:00+01:00,2024-08-07 02:00:00+01:00
EURCHF,BUY,0.9702500104904175,0.9784464474235263,166.66666666666816,81.96436933108785,WIN,60.0,2024-04-19 15:00:00+01:00,2024-04-24 20:00:00+01:00
EURAUD,BUY,1.80649995803833,1.8322624053273882,166.66666666666526,257.62447289058076,WIN,60.0,2025-04-10 17:00:00+01:00,2025-04-11 09:00:00+01:00
GBPJPY,SELL,183.8350067138672,185.60115378243583,-99.99999999999999,-176.61470685686425,LOSS,75.0,2024-08-06 11:00:00+01:00,2024-08-07 02:00:00+01:00
GBPJPY,BUY,190.47300720214844,189.80540629795618,-99.0,-66.76009041922555,LOSS,60.0,2024-08-19 20:00:00+01:00,2024-08-20 02:00:00+01:00
GBPJPY,SELL,187.4810028076172,186.12046922956193,163.35000000000343,136.05335780552537,WIN,75.0,2025-04-10 15:00:00+01:00,2025-04-11 01:00:00+01:00
GBPCHF,SELL,1.0714499950408936,1.0750789216586523,-99.99999999999999,-36.289266177587095,LOSS,75.0,2024-01-02 15:00:00+00:00,2024-01-03 06:00:00+00:00
GBPAUD,BUY,2.070549964904785,2.063696026802063,-100.0,-68.53938102722168,LOSS,60.0,2025-05-12 17:00:00+01:00,2025-05-13 04:00:00+01:00
AUDJPY,BUY,99.23699951171875,100.10896573747907,166.66666666666487,87.19662257603176,WIN,60.0,2024-04-19 14:00:00+01:00,2024-04-23 14:00:00+01:00
AUDJPY,SELL,100.74800109863281,101.18567957196917,-101.66666666666666,-43.76784733363621,LOSS,75.0,2024-07-26 20:00:00+01:00,2024-07-29 01:00:00+01:00
AUDJPY,SELL,93.88300323486328,94.89164216177804,-100.64999999999998,-100.8638926914756,LOSS,75.0,2024-08-06 14:00:00+01:00,2024-08-06 17:00:00+01:00
AUDJPY,BUY,99.3489990234375,100.07453400748116,166.07249999999672,72.55349840436622,WIN,75.0,2024-10-02 08:00:00+01:00,2024-10-02 13:00:00+01:00
AUDJPY,SELL,100.90499877929688,100.21964073181152,168.84037499999994,68.53580474853516,WIN,60.0,2024-10-28 13:00:00+00:00,2024-10-30 04:00:00+00:00
AUDJPY,BUY,90.94100189208984,90.43110874720982,-102.99262874999997,-50.989314488002435,LOSS,60.0,2025-04-16 11:00:00+01:00,2025-04-16 19:00:00+01:00
AUDJPY,SELL,90.447998046875,90.96957070486886,-101.96270246249995,-52.157265799385755,LOSS,60.0,2025-04-16 19:00:00+01:00,2025-04-17 17:00:00+01:00
CADJPY,SELL,114.17400360107422,114.61543083190918,-100.0,-44.142723083496094,LOSS,60.0,2024-06-14 12:00:00+01:00,2024-06-14 21:00:00+01:00
CADJPY,BUY,109.31999969482422,108.87696293422154,-98.99999999999999,-44.30367606026806,LOSS,60.0,2025-01-02 18:00:00+00:00,2025-01-03 16:00:00+00:00
CHFJPY,BUY,167.1840057373047,166.47086225237166,-100.0,-71.31434849330276,LOSS,60.0,2025-03-04 09:00:00+00:00,2025-03-04 15:00:00+00:00
CHFJPY,BUY,175.54299926757812,174.7254971095494,-99.0,-81.75021580287307,LOSS,75.0,2025-04-14 17:00:00+01:00,2025-04-15 13:00:00+01:00
AUDCAD,BUY,0.9157400131225586,0.9233310690947941,166.66666666666748,75.91055972235527,WIN,60.0,2024-11-06 17:00:00+00:00,2024-11-07 13:00:00+00:00
NZDJPY,SELL,85.5009994506836,86.37807219369071,-100.0,-87.7072743007119,LOSS,75.0,2024-08-06 13:00:00+01:00,2024-08-06 16:00:00+01:00
NZDJPY,BUY,87.93800354003906,87.70796830313546,-99.00000000000001,-23.00352369036034,LOSS,60.0,2025-11-19 12:00:00+00:00,2025-11-19 16:00:00+00:00
