pair,rr,adx_min,rsi_low,rsi_high,min_score,trades,win_rate,profit_factor,pnl,profitable
EURGBP,1.5,20,30,70,5,1115,37.309417040358746,0.8485746362539994,-5646.138603097471,NO
EURJPY,1.8,20,25,75,5,947,37.17001055966209,1.0436450324101614,3494.5573019407857,YES
EURCHF,1.2,12,30,70,4,959,42.96141814389989,0.9111336080377028,-4417.578864037913,NO
EURAUD,2.5,25,35,65,4,572,29.195804195804197,1.0138685386249182,547.2522410975598,YES
EURCAD,2.5,15,35,65,6,380,29.47368421052631,1.0258598263617391,747.4411574800506,YES
GBPJPY,1.2,25,30,70,6,686,46.06413994169096,1.012451914171829,521.1679249051431,YES
GBPCHF,2.0,15,25,75,6,557,33.034111310592465,0.9761737267879048,-997.5816919677727,NO
GBPAUD,2.5,12,35,65,6,443,29.345372460496616,1.0218857192914956,663.957607698103,YES
GBPCAD,2.0,25,35,65,6,452,34.73451327433628,1.0517368532277833,1550.7284207563844,YES
AUDJPY,1.2,20,30,70,6,788,47.08121827411168,1.065700703497995,2642.8878668320485,YES
CADJPY,2.5,25,35,65,6,370,30.810810810810814,1.1026917006090622,2738.857268869988,YES
CHFJPY,1.5,25,25,75,4,1080,41.2962962962963,1.0457541472341358,3078.8096179672557,YES
AUDCAD,1.2,12,30,70,5,649,41.14021571648691,0.8183586502853852,-4801.94135705314,NO
AUDNZD,1.2,15,30,70,4,1039,42.829643888354184,0.9031191181166763,-4840.190650389268,NO
NZDJPY,1.2,12,35,65,6,657,48.09741248097412,1.1119210768303138,4081.318085517085,YES
